short_name,lon,name,eightd_has_key_dispenser,capacity,station_type,lat,electric_bike_surcharge_waiver,has_kiosk,eightd_station_services,externalId,stationId,legacyId,region_code,rack_model,address,dockless_bikes_parking_zone_capacity,client_station_id
KA1504000141,-87.731023,Pulaski Rd & Eddy St (Temp),false,11,classic,41.946264,false,true,[],a3afc858-a135-11e9-9cda-0a87ae2ba916,488,488,undefined,undefined,undefined,undefined,undefined




15634,-87.687288,Western Ave & Roscoe St,false,11,classic,41.943034,false,true,[],a3afe1dc-a135-11e9-9cda-0a87ae2ba916,493,493,undefined,undefined,undefined,undefined,undefined

KA1504000164,-87.7289701012,Keystone Ave & Montrose Ave,false,11,classic,41.96110801623,false,true,[],a3afebff-a135-11e9-9cda-0a87ae2ba916,495,495,undefined,undefined,undefined,undefined,undefined
15640,-87.723574,Avers Ave & Belmont Ave,false,11,classic,41.939408,false,true,[],a3aff10c-a135-11e9-9cda-0a87ae2ba916,496,496,undefined,undefined,undefined,undefined,undefined













15654,-87.709219571,Spaulding Ave & Division St,false,11,classic,41.90270659438,false,true,[],a3b0b801-a135-11e9-9cda-0a87ae2ba916,510,510,undefined,undefined,undefined,undefined,undefined

514,-87.68452,Ridge Blvd & Howard St,false,11,classic,42.019276,false,true,[],a3b0ccad-a135-11e9-9cda-0a87ae2ba916,514,514,undefined,undefined,undefined,undefined,undefined

517,-87.675005,Clark St & Jarvis Ave,false,11,classic,42.015963,false,true,[],a3b0d6ec-a135-11e9-9cda-0a87ae2ba916,517,517,undefined,undefined,undefined,undefined,undefined
518,-87.716866,Conservatory Dr & Lake St,false,11,classic,41.885502,false,true,[],a3b0dc1f-a135-11e9-9cda-0a87ae2ba916,518,518,undefined,undefined,undefined,undefined,undefined
519,-87.677725,Wolcott Ave & Fargo Ave,false,11,classic,42.016977,false,true,[],a3b0e141-a135-11e9-9cda-0a87ae2ba916,519,519,undefined,undefined,undefined,undefined,undefined

16806,-87.669563,Bosworth Ave & Howard St,false,11,classic,42.019537,false,true,[],a3b0eb93-a135-11e9-9cda-0a87ae2ba916,522,522,undefined,undefined,undefined,undefined,undefined

16921,-87.774704,Austin Blvd & Chicago Ave,false,7,classic,41.894887,false,true,[],a3b0f5c9-a135-11e9-9cda-0a87ae2ba916,524,524,undefined,undefined,undefined,undefined,undefined

RP-004,-87.688243,Oakley Ave & Touhy Ave,false,11,classic,42.012342,false,true,[],a3b0fff9-a135-11e9-9cda-0a87ae2ba916,526,526,undefined,undefined,undefined,undefined,undefined

528,-87.726491,Pulaski Rd & Lake St,false,11,classic,41.885409,false,true,[],a3b10a40-a135-11e9-9cda-0a87ae2ba916,528,528,undefined,undefined,undefined,undefined,undefined
16903,-87.745261,Cicero Ave & Lake St,false,11,classic,41.886841,false,true,[],a3b10f66-a135-11e9-9cda-0a87ae2ba916,529,529,undefined,undefined,undefined,undefined,undefined
530,-87.755527,Laramie Ave & Kinzie St,false,11,classic,41.887832,false,true,[],a3b11480-a135-11e9-9cda-0a87ae2ba916,530,530,undefined,undefined,undefined,undefined,undefined
16905,-87.765469,Central Ave & Lake St,false,11,classic,41.887664,false,true,[],a3b11993-a135-11e9-9cda-0a87ae2ba916,531,531,undefined,undefined,undefined,undefined,undefined
16906,-87.774446,Austin Blvd & Lake St,false,11,classic,41.887919,false,true,[],a3b11ea4-a135-11e9-9cda-0a87ae2ba916,532,532,undefined,undefined,undefined,undefined,undefined
16907,-87.71547,Central Park Blvd & 5th Ave,false,11,classic,41.875679,false,true,[],a3b123c5-a135-11e9-9cda-0a87ae2ba916,533,533,undefined,undefined,undefined,undefined,undefined
534,-87.727907,Karlov Ave & Madison St,false,11,classic,41.88085,false,true,[],a3b128de-a135-11e9-9cda-0a87ae2ba916,534,534,undefined,undefined,undefined,undefined,undefined
535,-87.725704,Pulaski Rd & Congress Pkwy,false,11,classic,41.874325,false,true,[],a3b12dfb-a135-11e9-9cda-0a87ae2ba916,535,535,undefined,undefined,undefined,undefined,undefined
536,-87.73541,Kostner Ave & Lake St,false,11,classic,41.885928,false,true,[],a3b1330c-a135-11e9-9cda-0a87ae2ba916,536,536,undefined,undefined,undefined,undefined,undefined
537,-87.741018,Kenton Ave & Madison St,false,11,classic,41.880708,false,true,[],a3b13836-a135-11e9-9cda-0a87ae2ba916,537,537,undefined,undefined,undefined,undefined,undefined
16912,-87.746619,Cicero Ave & Flournoy St,false,11,classic,41.872131,false,true,[],a3b13e66-a135-11e9-9cda-0a87ae2ba916,538,538,undefined,undefined,undefined,undefined,undefined
16913,-87.745405,Cicero Ave & Quincy St,false,11,classic,41.877613,false,true,[],a3b143aa-a135-11e9-9cda-0a87ae2ba916,539,539,undefined,undefined,undefined,undefined,undefined
540,-87.755337,Laramie Ave & Madison St,false,11,classic,41.880207,false,true,[],a3b148bf-a135-11e9-9cda-0a87ae2ba916,540,540,undefined,undefined,undefined,undefined,undefined
16915,-87.764499,Central Ave & Harrison St,false,11,classic,41.872993,false,true,[],a3b1c47b-a135-11e9-9cda-0a87ae2ba916,541,541,undefined,undefined,undefined,undefined,undefined
16916,-87.763238,Central Ave & Madison St,false,11,classic,41.880121,false,true,[],a3b1ca28-a135-11e9-9cda-0a87ae2ba916,542,542,undefined,undefined,undefined,undefined,undefined
543,-87.755285,Laramie Ave & Gladys Ave,false,11,classic,41.875806,false,true,[],a3b1cf80-a135-11e9-9cda-0a87ae2ba916,543,543,undefined,undefined,undefined,undefined,undefined
16918,-87.774453,Austin Blvd & Madison St,false,11,classic,41.880281,false,true,[],a3b1d532-a135-11e9-9cda-0a87ae2ba916,544,544,undefined,undefined,undefined,undefined,undefined
545,-87.735737,Kostner Ave & Adams St,false,11,classic,41.877917,false,true,[],a3b1db23-a135-11e9-9cda-0a87ae2ba916,545,545,undefined,undefined,undefined,undefined,undefined
546,-87.676597,Damen Ave & Pershing Rd,false,11,classic,41.823192,false,true,[],a3b1e065-a135-11e9-9cda-0a87ae2ba916,546,546,undefined,undefined,undefined,undefined,undefined
16932,-87.665577,Ashland Ave & Pershing Rd,false,11,classic,41.823465,false,true,[],a3b1e588-a135-11e9-9cda-0a87ae2ba916,547,547,undefined,undefined,undefined,undefined,undefined
16933,-87.650931,Morgan St & Pershing Rd,false,7,classic,41.823613,false,true,[],a3b1eaa7-a135-11e9-9cda-0a87ae2ba916,548,548,undefined,undefined,undefined,undefined,undefined
549,-87.666589,Marshfield Ave & 44th St,false,11,classic,41.813996,false,true,[],a3b1efd6-a135-11e9-9cda-0a87ae2ba916,549,549,undefined,undefined,undefined,undefined,undefined
16920,-87.764902,Central Ave & Chicago Ave,false,11,classic,41.894958,false,true,[],a3b1f4fb-a135-11e9-9cda-0a87ae2ba916,550,550,undefined,undefined,undefined,undefined,undefined
KA1504000091,-87.67718,Hoyne Ave & 47th St,false,11,classic,41.808227,false,true,[],a3b1fa1c-a135-11e9-9cda-0a87ae2ba916,551,551,undefined,undefined,undefined,undefined,undefined
16937,-87.66454,Ashland Ave & McDowell Ave,false,11,classic,41.80887,false,true,[],a3b1ff34-a135-11e9-9cda-0a87ae2ba916,552,552,undefined,undefined,undefined,undefined,undefined
553,-87.656526,Elizabeth St & 47th St,false,11,classic,41.80839,false,true,[],a3b2044b-a135-11e9-9cda-0a87ae2ba916,553,553,undefined,undefined,undefined,undefined,undefined
554,-87.674684,Damen Ave & 51st St,false,7,classic,41.800908,false,true,[],a3b20960-a135-11e9-9cda-0a87ae2ba916,554,554,undefined,undefined,undefined,undefined,undefined
16940,-87.664699,Ashland Ave & 50th St,false,11,classic,41.803023,false,true,[],a3b20e8a-a135-11e9-9cda-0a87ae2ba916,555,555,undefined,undefined,undefined,undefined,undefined
556,-87.657195,Throop St & 52nd St,false,7,classic,41.799659,false,true,[],a3b213af-a135-11e9-9cda-0a87ae2ba916,556,556,undefined,undefined,undefined,undefined,undefined
557,-87.675478,Seeley Ave & Garfield Blvd,false,11,classic,41.794087,false,true,[],a3b218cd-a135-11e9-9cda-0a87ae2ba916,557,557,undefined,undefined,undefined,undefined,undefined
16943,-87.664429,Ashland Ave & Garfield Blvd,false,11,classic,41.792822,false,true,[],a3b21de7-a135-11e9-9cda-0a87ae2ba916,558,558,undefined,undefined,undefined,undefined,undefined
559,-87.655073,Racine Ave & Garfield Blvd,false,11,classic,41.794228,false,true,[],a3b222fc-a135-11e9-9cda-0a87ae2ba916,559,559,undefined,undefined,undefined,undefined,undefined
560,-87.666215,Marshfield Ave & 59th St,false,11,classic,41.786833,false,true,[],a3b22815-a135-11e9-9cda-0a87ae2ba916,560,560,undefined,undefined,undefined,undefined,undefined
561,-87.67390653491019,Damen Ave & 59th St,false,11,classic,41.784770075728936,false,true,[],a3b22d3d-a135-11e9-9cda-0a87ae2ba916,561,561,undefined,undefined,undefined,undefined,undefined
562,-87.654372,Racine Ave & 61st St,false,11,classic,41.783189,false,true,[],a3b23263-a135-11e9-9cda-0a87ae2ba916,562,562,undefined,undefined,undefined,undefined,undefined
16948,-87.664843,Ashland Ave & 63rd St,false,11,classic,41.779374,false,true,[],a3b23785-a135-11e9-9cda-0a87ae2ba916,563,563,undefined,undefined,undefined,undefined,undefined
564,-87.654308,Racine Ave & 65th St,false,11,classic,41.775393,false,true,[],a3b23cb8-a135-11e9-9cda-0a87ae2ba916,564,564,undefined,undefined,undefined,undefined,undefined
16950,-87.663815,Ashland Ave & 66th St,false,7,classic,41.774074,false,true,[],a3b241df-a135-11e9-9cda-0a87ae2ba916,565,565,undefined,undefined,undefined,undefined,undefined
567,-87.652934,May St & 69th St,false,11,classic,41.768938,false,true,[],a3b24c1f-a135-11e9-9cda-0a87ae2ba916,567,567,undefined,undefined,undefined,undefined,undefined
